전체부서명,문서명,최종결재자직위,1단계,2단계,3단계,4단계,5단계,단위과제명,단위과제카드명,등급,직위,label,__index_level_0__
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-545692) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,24
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-547499) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,25
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-548728) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,26
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-549665) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,27
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-552066) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,28
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-552076) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,29
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-555591) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,30
경기도하남시 복지교육국 노인장애인복지과,2020년 마루공원 운영수입 세입조치(20200205),노인장애인복지과장,사회복지,사회복지일반,장묘,장묘시설관리,장사시설운영관리,마루공원세입조치,마루공원세입조치,D,과장,3,31
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-556041) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,32
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-556045) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,33
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-556234) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,34
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-556245) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,35
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-556786) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,36
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-560343) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,37
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-565711) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,38
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-509867) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,39
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-510623) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,40
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-510716) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,41
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-513422) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,42
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-518727) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,43
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-523843) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,44
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-524173) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,45
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-526694) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,46
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-526717) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,47
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-530034) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,48
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-523859) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,49
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-524990) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,50
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-531552) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,51
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-526382) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,52
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스 감염증 대응을 위한 장애인복지시설 휴관 검토보고,시장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지시설일반,장애인복지시설일반,B,시장,1,53
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스 감염 확산 방지에 따른 휴관 알림,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,노인복지일반,노인복지일반,D,과장,3,54
경기도하남시 복지교육국 노인장애인복지과,신종코로나바이러스 확산에 따른 노인·장애인복지시설 휴관 안내,노인장애인복지과장,일반공공행정,일반행정,일반행정지원,과공통일반사무,일반서무,서무일반,서무일반,D,과장,3,55
경기도하남시 복지교육국 노인장애인복지과,하남시장애인복지관 휴관 결정 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지시설지원,장애인복지관일반,D,과장,3,56
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스감염증 유행대비 사회복지시설 대응지침 알림,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,노인복지일반,노인복지일반,D,과장,3,57
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스 감염 확산 방지에 따른 <경로당 휴관> 알림,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지증진시책수립및추진,경로당관리,경로당관리,D,과장,3,58
경기도하남시 복지교육국 노인장애인복지과,2020년 2월 노인 장수수당 신규신청자 명단 제출 및 2020년 1월 지급명단 통보,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,노인복지일반,노인 장수수당 지급,D,과장,3,59
경기도하남시 복지교육국 노인장애인복지과,2020년 장애인직업재활시설 기능보강사업 국고보조금 교부 신청서 제출,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지시설일반,장애인복지시설일반,C,과장,2,60
경기도하남시 복지교육국 노인장애인복지과,도시관리계획(지역현안사업2지구 지구단위계획) 변경(결정)(안) 신청에 따른 협의 회신,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,편의시설건축협의,편의시설건축협의,D,과장,3,61
경기도하남시 복지교육국 노인장애인복지과,신종 CV 감염병 확산에 따른 무료급식 경로식당 운영 현황 제출,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,노인복지일반,경로식당운영지원,C,과장,2,62
경기도하남시 복지교육국 노인장애인복지과,신종 코로나바이러스 감염증 대응을 위한 노인장애인복지시설 휴관 검토보고,시장,일반공공행정,일반행정,일반행정지원,과공통일반사무,일반서무,서무일반,서무일반,B,시장,1,63
경기도하남시 복지교육국 노인장애인복지과,신종CV 감염증 유행대비 노인복지시설(장기요양기관) 대응지침 안내 및 의심사항 발생 신고 철저 안내,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인복지시설관리,노인복지시설관리,D,과장,3,64
경기도하남시 복지교육국 노인장애인복지과,사회보장정보시스템(행복e음) 사용자 권한신청,노인장애인복지과장,일반공공행정,일반행정,일반행정지원,과공통일반사무,일반서무,서무일반,서무일반,D,과장,3,65
경기도하남시 복지교육국 노인장애인복지과,정보(통신)시스템 처리 신청서,노인복지관팀장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,노인복지일반,노인복지일반,,팀장,,66
경기도하남시 복지교육국 노인장애인복지과,신종코로나바이러스감염증 확진자 및 의사환자 등 발생 시 조치 알림,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인복지시설관리,노인복지시설관리,D,과장,3,67
경기도하남시 복지교육국 노인장애인복지과,장애인전용주차구역위반과태료 부과취소 보고(권민혁_64무0396),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,68
경기도하남시 복지교육국 노인장애인복지과,장애인사용자동차등표지 부당사용에 따른 과태료 부과처분 의견제출에 대한 회신(백종태_32부4828),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,69
경기도하남시 복지교육국 노인장애인복지과,자기개발계획서 승인요청,노인장애인복지과장,일반공공행정,일반행정,일반행정지원,과공통일반사무,일반서무,근무상황부,근무상황부,C,과장,2,70
경기도하남시 복지교육국 노인장애인복지과,(석바대@) 경로당 고유번호증 재발급 요청,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인여가복지시설지원,경로당설치신고및변경,경로당설치신고및변경,D,과장,3,71
경기도하남시 복지교육국 노인장애인복지과,경로당 현황 자료 회신,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지증진시책수립및추진,경로당관리,경로당관리,D,과장,3,72
경기도하남시 복지교육국 노인장애인복지과,2020년 마루공원 운영수입 세입조치(20200204),노인장애인복지과장,사회복지,사회복지일반,장묘,장묘시설관리,장사시설운영관리,마루공원세입조치,마루공원세입조치,D,과장,3,73
경기도하남시 복지교육국 노인장애인복지과,"편의시설에 대한 시정명령, 이행강제금 및 벌금 등 부과 현황 제출",노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,편의시설건축협의,편의시설건축협의,C,과장,2,74
경기도하남시 복지교육국 노인장애인복지과,2019년 공공부문 근로자 정기실태조사 자료 요청 추가 회신,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지재정지원,노인복지회관운영,노인복지회관기간제관리,노인복지회관기간제관리,D,과장,3,75
경기도하남시 복지교육국 노인장애인복지과,2020년 장애인복지기금 공모사업 지원계획 통보,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인복지기금관리,장애인복지기금관리,D,과장,3,76
경기도하남시 복지교육국 노인장애인복지과,예산 수시배정 요구서 제출,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인복지일반,장애인복지일반,,과장,,77
경기도하남시 복지교육국 노인장애인복지과,노인복지관 사회복무요원 교통비 지급요청(1월),노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,노인복지일반,노인복지일반,C,과장,2,78
경기도하남시 복지교육국 노인장애인복지과,노인복지관 기간제 근로자 건강(요양)·연금보험료 납부(2020.1월분),노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지재정지원,노인복지회관운영,노인복지회관기간제관리,노인복지회관기간제관리,D,과장,3,79
경기도하남시 복지교육국 노인장애인복지과,"(검단,동부부녀,라인,월호) 경로당 기능보강사업 보조금 교부결정 및 자금교부",노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지재정지원,노인복지증진시책수립및추진,경로당기능보강사업,경로당기능보강사업,D,과장,3,80
경기도하남시 복지교육국 노인장애인복지과,2020년 노인맞춤돌봄서비스사업 지원 1/4분기 보조금 사전집행 승인 통보,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인돌봄서비스운영,노인돌봄서비스운영,D,과장,3,81
경기도하남시 복지교육국 노인장애인복지과,2020년 제1차 발달재활서비스 이용자 자격확인 및 조치결과 제출,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인복지바우처사업,장애인복지바우처사업,B,과장,1,82
경기도하남시 복지교육국 노인장애인복지과,출장복명서(노인일자리수행기관 안전점검),노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인취업지원,노인복지증진시책수립및추진,노인일자리일반,노인일자리일반,D,과장,3,83
경기도하남시 복지교육국 노인장애인복지과,하남시 장기요양기관 지정 심사위원회 구성 및 운영계획,시장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인복지시설관리,노인복지시설관리,B,시장,1,84
경기도하남시 복지교육국 노인장애인복지과,출장결과 보고서(코로나바이러스 확산 방지 경로식당 휴관 여부 협의),노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지정책및운영,노인복지증진시책수립및추진,노인복지일반,노인복지일반,C,과장,2,85
경기도하남시 복지교육국 노인장애인복지과,2019년 도비보조사업 청각장애인 인공달팽이관 재활지원 정산내역 제출,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인재활보조기구교부,장애인재활보조기구교부,C,과장,2,86
경기도하남시 복지교육국 노인장애인복지과,"재가노인지원 대상자 선정 통보(곽동*,문을*,원동*,김정*)",노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,재가노인식사배달운영,재가노인지원서비스,D,과장,3,87
경기도하남시 복지교육국 노인장애인복지과,2020년 노인맞춤돌봄서비스사업 지원 1/4분기 보조금 사전집행 승인 검토,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인돌봄서비스운영,노인돌봄서비스운영,D,과장,3,88
경기도하남시 복지교육국 노인장애인복지과,2020년 1차 장애인활동지원 수급자격위원회 참석수당 지급,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인복지바우처사업,장애인복지바우처사업,D,과장,3,89
경기도하남시 복지교육국 노인장애인복지과,민원(1AA-2001-458820) 처리결과 안내,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,90
경기도하남시 복지교육국 노인장애인복지과,출장결과 보고서(미사도서관 인테리어 제안에 따른 현장확인),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,장애인복지증진시책수립및추진,장애인단체일반,장애인 단체지원 및 관리,C,과장,2,91
경기도하남시 복지교육국 노인장애인복지과,장애인전용주차구역 위반 과태료 부과 처분에 따른  민원서에 대한 회신(김신웅_29머0977),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,92
경기도하남시 복지교육국 노인장애인복지과,장애인 편의시설 현장조사요원 운영 보조금 교부결정 및 자금교부,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인편의시설지원센터,장애인편의시설지원센터,D,과장,3,93
경기도하남시 복지교육국 노인장애인복지과,하남감일 공공주택지구 내 학교(감일2초) 시설사업 시행계획에 따른 협의회신,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,편의시설건축협의,편의시설건축협의,D,과장,3,94
경기도하남시 복지교육국 노인장애인복지과,(영재맞돌 20-08호)2020년 노인맞춤돌봄서비스 1분기 보조금 사전 집행 승인요청,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지시설운영지도,노인복지시설(법인)인허가,노인돌봄서비스운영,노인돌봄서비스운영,C,과장,2,95
경기도하남시 복지교육국 노인장애인복지과,장애인사용자동차등표지 부당사용 과태료 감경신청에 따른 체납과태료 조회 요청,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,C,과장,2,96
경기도하남시 복지교육국 노인장애인복지과,2020년 1월분 저소득 노인가구 건강보험료 지원,노인장애인복지과장,사회복지,노인청소년,노인생활안정,노인복지재정지원,노인복지증진시책수립및추진,저소득노인가구건강보험료지급,저소득노인가구건강보험료지급,,과장,,97
경기도하남시 복지교육국 노인장애인복지과,부서운영 물품 구입,노인장애인복지과장,일반공공행정,일반행정,일반행정지원,과공통일반사무,예산회계서무,회계일반,회계일반,D,과장,3,98
경기도하남시 복지교육국 노인장애인복지과,장애인전용주차구역 위반 과태료 부과처분 의견제출에 대한 감경처리 통지,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,99
경기도하남시 복지교육국 노인장애인복지과,장애인사용자동차등 표지 부당사용 과태료 부과 처분 의견제출에 대한 감경 처리 통지,노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,D,과장,3,100
경기도하남시 복지교육국 노인장애인복지과,장애인사용자동차등표지 부당사용 과태료 감경조치 보고(조윤구_67호6905(부당사용)),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,,과장,,101
경기도하남시 복지교육국 노인장애인복지과,장애인전용주차구역 위반처분 감경조치 보고(강수식_경기하남나2920),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,,과장,,102
경기도하남시 복지교육국 노인장애인복지과,장애인전용주차구역 위반처분 감경조치 보고(박영준_56어7491),노인장애인복지과장,사회복지,취약계층지원,장애인생활안정지원,장애인복지사업및정책,재가복지사업관리,장애인전용주차구역단속,장애인전용주차구역단속,,과장,,103
